A comparison of secure UNIX operating systems,"Wong, R.M.","Oracle Corp., Redwood Shores, CA, USA","Computer Security Applications Conference, 1990., Proceedings of the Sixth Annual",20020806,1990,,,322,333,"Industry has seen the introduction of a number of secure UNIX products. This paper is a summary of a study conducted by Oracle in determining the similarities and differences in the various secure UNIX implementations that are now or will shortly be available. The five systems that were surveyed for this study are: AT&T System V/MLS, Release 1.1, SunOS MLS, Version 1.0, SecureWare Security Module Package Plus, Version 1.0, Addamax B1st Trusted System Kit for System V 3.0, Release 1.0 and Trusted Xenix, Version 1.0. It compares the systems in the area of discretionary access control, mandatory access control and accountability and identification, respectively",,0-8186-2105-2,,10.1109/CSAC.1990.143794,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=143794,,Access control;Computer industry;Computer security;Multilevel systems;Operating systems;Permission;Protection;Prototypes;Standardization;Standards organizations,Unix;access control;security of data,AT&T System V/MLS;Addamax B1st Trusted System Kit;Oracle;SecureWare Security Module Package Plus;SunOS MLS;System V;Trusted Xenix;discretionary access control;mandatory access control;secure UNIX operating systems,,1,3,22,,,3-7 Dec 1990,03 Dec 1990-07 Dec 1990,IEEE,IEEE Conference Publications
A Comprehension Approach for Formalizing Privacy Rules of HIPAA for Decision Support,"Khan, I.; Alwarsh, M.; Khan, J.I.","Dept. of Comput. Sci., Int. Islamic Univ. (IIU), Islamabad, Pakistan","Machine Learning and Applications (ICMLA), 2013 12th International Conference on",20140410,2013,2,,390,395,"In this paper we explore automated verification of electronic medical record (EMR) transaction for compliance with a regulatory regimen such as HIPAA. We present an approach based on modeling the conceptual space of HIPAA. The clauses of HIPAA legal text is then converted into a disambiguated decision tree (DDT) rules precisely identifying the allowed, dis-allowed and prescribed actions per work flow request type. Given any EMR query the DT then enables one not only to verify the compliance as well as provide complete release guidance as prescribed by HIPAA, generate explanation and audit.",,,,10.1109/ICMLA.2013.154,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6786141,HIPAA;Logical Rules Set;Privacy Rules,Authorization;Decision trees;Human immunodeficiency virus;Law;Semantics,data privacy;decision support systems;decision trees;electronic health records;formal verification;health care;law;query processing;text analysis,DDT;EMR query;HIPAA;Portability-and-Accountability Act;US health care system efficiency improvement;allowed action-per-work flow request type;automated electronic medical record transaction verification;computer assisted intelligent verification;decision support;disallowed action-per-work flow request type;disambiguated decision tree rules;legal text conversion;medical information exchange;prescribed action-per-work flow request type;privacy rule formalization;regulatory regimen,,0,,14,,,4-7 Dec. 2013,,IEEE,IEEE Conference Publications
A Cryptographic Key Management Solution for HIPAA Privacy/Security Regulations,Wei-Bin Lee; Chien-Ding Lee,"Feng Chia Univ., Taichung","Information Technology in Biomedicine, IEEE Transactions on",20080107,2008,12,1,34,41,"The Health Insurance Portability and Accountability Act (HIPAA) privacy and security regulations are two crucial provisions in the protection of healthcare privacy. Privacy regulations create a principle to assure that patients have more control over their health information and set limits on the use and disclosure of health information. The security regulations stipulate the provisions implemented to guard data integrity, confidentiality, and availability. Undoubtedly, the cryptographic mechanisms are well defined to provide suitable solutions. In this paper, to comply with the HIPAA regulations, a flexible cryptographic key management solution is proposed to facilitate interoperations among the applied cryptographic mechanisms. In addition, case of consent exceptions intended to facilitate emergency applications and other possible exceptions can also be handled easily.",1089-7771,,,10.1109/TITB.2007.906101,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4358910,Cryptography;HIPAA;Health Insurance Portability and Accountability Act (HIPAA);Protected Health Information (PHI);cryptography;key management;patient's privacy;protected health information (PHI),,data privacy;health care;insurance data processing;medical information systems;private key cryptography,HIPAA privacy regulations;HIPAA security regulations;Health Insurance Portability and Accountability Act;cryptographic key management;health information;healthcare privacy,Confidentiality;Feasibility Studies;Health Insurance Portability and Accountability Act;Security Measures;United States,28,,23,,,Jan. 2008,,IEEE,IEEE Journals & Magazines
A decentralize incentive mechanism for P2P file sharing systems,Jie Zhang; Zheng Zhao; Yi Gong; Maode Ma,"Tianjin Univ., Tianjin","Information, Communications & Signal Processing, 2007 6th International Conference on",20080212,2007,,,1,5,"As experience with P2P networks shows, the selfish behaviors of peers may lead to free-riding and tragedy of common. Most of the existing work is concerning probabilistic estimation to build reputation system to evaluate the triistwor- thiness for a peer to others. However, they can fail with positive probability and also suffer from long-term interaction. In this paper, we design a multiple-principal multiple-agent model that can provide incentives to peers in P2P file sharing networks in a way of Vickrey-Clarke-Groves mechanism, while assuming every peer in P2P networks is rational and selfish, which means they only concern about their own outcome. This mechanism has some desirable properties: incentive compatibility, individual rationality, and full decentralization. The implementation of our mechanism is complemented by a decentralized accounting scheme which provides accountability for applications in a secure and scalable way. Simulation experiments are performed to provide evidence of the mechanism's efficiency and reliability even in the presence of faulty or malicious peers.",,978-1-4244-0982-2,978-1-4244-0983-9,10.1109/ICICS.2007.4449567,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4449567,,Computational modeling;Computer science;Costs;Mechanical factors;Microeconomics;Peer to peer computing;Pricing;Protocols;Resource management,multi-agent systems;peer-to-peer computing;probability;telecommunication security,P2P file sharing system;Vickrey-Clarke-Groves mechanism;decentralized incentive mechanism;multiple-principal multiple-agent model,,1,,21,,,10-13 Dec. 2007,,IEEE,IEEE Conference Publications
A Fair Accountability Protocol and Its Security Properties Analysis,Li Chen; Huaiqiang Li,"Henan Univ. of Finance & Econ., Zhengzhou, China","Wireless Communications, Networking and Mobile Computing, 2009. WiCom '09. 5th International Conference on",20091030,2009,,,1,4,"Accountability and fairness are very important properties of electronic commerce security protocols. Some protocols are found that cannot achieve their desired security goals. In order to remedy the flaws of the CMP1 protocol, the paper proposes a new fair accountability protocol by adopting cryptographic hash function operation and introducing ftp transmission method. The proposed protocol is verified to satisfy accountability and fairness by utilizing the improved Kailar logic. The performance analysis of the proposed protocol shows that it is better in confidentiality and usability than the CMP1 protocol. It can be widely used in electronic commerce applications, such as E-mail and digital contract signing, and so on.",,978-1-4244-3692-7,978-1-4244-3693-4,10.1109/WICOM.2009.5302863,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5302863,,Cryptographic protocols;Cryptography;Electronic commerce;Electronic mail;Finance;Information security;Logic;Performance analysis;Postal services;Usability,cryptographic protocols;electronic commerce,CMP1 protocol;E-mail;cryptographic hash function;digital contract signing;electronic commerce security protocol;fair accountability protocol;ftp transmission method;improved Kailar logic;security property analysis,,0,,9,,,24-26 Sept. 2009,,IEEE,IEEE Conference Publications
A Generic Logging Template for Infrastructure as a Service Cloud,"Wongthai, W.; Rocha, F.L.; Van Moorsel, A.","Sch. of Comput. Sci., Newcastle Univ., Newcastle uopn Tyne, UK","Advanced Information Networking and Applications Workshops (WAINA), 2013 27th International Conference on",20130701,2013,,,1153,1160,"Infrastructure as a Service (IaaS) consists of a cloud-based infrastructure to offer consumers raw computation resources such as storage and networking. These resources are billed using a pay-per-use cost model. However, this type of infrastructure is far from being a security haven as the seven main threats defined by the Cloud Security Alliance (CSA) indicate. Using logging systems can provide evidence to support accountability for an IaaS cloud, which helps us mitigating known threats. In this paper, we research to which extent such logging systems help mitigate risks associated with the threats identified by the CSA. A generic architecture 'template' for logging systems is proposed. This template encompasses all possible instantiations of logging solutions for IaaS cloud. We map existing logging systems to our generic template, and identify a logging solution to mitigate the risks associated with CSA threat number one (related to spam activities). We then argue that the template we suggest can be used to perform a systematic analysis of logging systems in terms of security before deploying them in production systems.",,978-1-4673-6239-9,978-0-7695-4952-1,10.1109/WAINA.2013.108,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6550551,IaaS;cloud monitoring;logging system,Cloud computing;Computer architecture;Electronic mail;Kernel;Monitoring;Security;Virtual machine monitors,cloud computing;computerised monitoring;resource allocation;risk analysis;security of data;service-oriented architecture,CSA threat number;IaaS cloud;cloud security alliance;cloud-based infrastructure;generic architecture template;generic logging template;infrastructure as a service cloud;logging systems;pay-per-use cost model;production systems;raw computation resources;risk association;threat identification;threat mitigation,,1,,19,,,25-28 March 2013,,IEEE,IEEE Conference Publications
A Guide to End-to-End Privacy Accountability,"Butin, Denis; Le Metayer, Daniel",,"TEchnical and LEgal aspects of data pRivacy and SEcurity, 2015 IEEE/ACM 1st International Workshop on",20150810,2015,,,20,25,"Accountability is considered a tenet of privacy management, yet implementing it effectively is no easy task. It requires a systematic approach with an overarching impact on the design and operation of IT systems. This article, which results from a multidisciplinary project involving lawyers, industry players and computer scientists, presents guidelines for the implementation of consistent sets of accountability measures in organisations. It is based on a systematic analysis of the Draft General Data Protection Regulation. We follow a systematic approach covering the whole life cycle of personal data and considering the three levels of privacy proposed by Bennett, namely accountability of policy, accountability of procedures and accountability of practice.",,978-1-4673-7097-4,,10.1109/TELERISE.2015.12,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7182465,Accountability;Methodology;Privacy requirements,Art;Data handling;Data protection;Law;Privacy,,,,,,,,,18-18 May 2015,,IEEE,IEEE Conference Publications
A Lean and Sustainable User Access System for a University Microfabrication Laboratory,"Roth, A.; Lee, J.",,"University/Government/Industry, Micro/Nano Symposium (UGIM), 2012 19th Biennial",20120723,2012,,,1,1,"Summary form only given. The objective of this project is to develop a user access system for the Microscale Process Engineering Laboratory (MPEL) at San Jose State University (SJSU). The system implements hardware/software locks that limit tool use to authorized users only. The MPEL at SJSU is a 5,000 sq. ft. instructional facility that is also used for research projects and industry collaboration. Based on the size of the facility and its support infrastructure, it is critical that the user access system be very lean and sustainable for the limited staffing available. In addition to the interlock system, the necessary system functions include a database with user information and authorization levels that can easily be modified by the lab managers. Preventing unauthorized tool use, or any use in the case of a tool that is down, will help maintain user safety and prevent tool damage. Individual user and tool hours are logged to add user accountability, budget tracking, and improve tool maintenance. This project evaluates trade-offs between having a centralized master computer that communicates with ""child"" computers stationed at each major functional area of the lab and having independent computers located separately at each functional area. Each option has benefits and costs related to expense, sustainability and usability. The implemented system will provide SJSU's MPEL with a lean and sustainable user access system that will improve safety, maintainability and quality.",0749-6877,978-1-4577-1751-2,978-1-4577-1750-5,10.1109/UGIM.2012.6247101,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6247101,,Collaboration;Computers;Educational institutions;Hardware;Industries;Safety;Software,authorisation;budgeting;information retrieval;laboratories;sustainable development,MPEL;Microscale Process Engineering Laboratory;SJSU;SJSU MPEL;San Jose State University;budget tracking;centralized master computer;child computers;hardware-software locks;independent computers;individual tool;individual user;industry collaboration;instructional facility;interlock system;lab managers;limited staffing;research projects;sustainability costs;sustainable user access system;system functions;tool damage prevention;tool down time;unauthorized tool use prevention;usability costs;user accountability;user information;user safety maintain;users authorization,,0,,,,,9-10 July 2012,,IEEE,IEEE Conference Publications
A lightweight and private mobile payment protocol by using mobile network operator,"Tan Soo Fun; Leau Yu Beng; Likoh, J.; Roslan, R.","Sch. of Inf. Sci., Univ. Malaysia Sabah, Sabah","Computer and Communication Engineering, 2008. ICCCE 2008. International Conference on",20080729,2008,,,162,166,"Mobile commerce is undoubtedly become an omnipresent and active area in electronic payments. It allows mobile user to purchase things, pay bills or make a bet via mobile phone when on the move, anywhere and at any time. Unfortunately, several challenges in accountability and privacy properties have emerged with the widespread of m-commerce in recent years. Consequently, many public-key cryptography based mobile payment protocol have been proposed. However, limited capabilities of mobile devices and wireless networks make these protocols are not suitable for mobile network. In this paper, we propose a secure mobile payment protocol which involves mobile network operators (MNO) by employing symmetric key operations. The symmetric cryptographic technique applied to our proposed protocol not only minimizes the computational operations and communication passes between the involved parties, but also has achieves a completely privacy protection for the payer and satisfies all the criteria of end-to-end security property and partypsilas requirement including non-repudiation. The future work will concentrate on improving the verification solution to support mobile user authentication and authorization for mobile payment transactions.",,978-1-4244-1691-2,978-1-4244-1692-9,10.1109/ICCCE.2008.4580588,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4580588,,Authentication;Business;Cryptographic protocols;Mobile communication;Mobile handsets;Privacy;Protection;Public key cryptography;Wireless application protocol;Wireless networks,authorisation;data privacy;electronic money;message authentication;mobile computing;mobile handsets;protocols;public key cryptography;transaction processing,authorization;electronic payments;end-to-end security property;m-commerce;mobile commerce;mobile devices;mobile network operators;mobile payment transactions;mobile phone;mobile user authentication;privacy protection;public-key cryptography;secure mobile payment protocol;symmetric cryptographic technique;wireless networks,,2,,14,,,13-15 May 2008,,IEEE,IEEE Conference Publications
A microprocessor design for multilevel security,"Clifton, D.B.; Fernandez, E.B.","Harris Semicond., Melbourne, FL, USA","Aerospace Computer Security Applications Conference, 1988., Fourth",20020806,1988,,,194,198,"A protection architecture, specifically designed to meet the requirements for secure hardware is described. This architecture, which is called the KEVEC-32 (Kernelized Verifiable CISC processor), enforces a multilevel, categorized model of security. Intended for multilevel applications, the microprocessor uses several unique features to provide a high degree of security. The most significant of these is a separation of processor privilege states and data classification. The processor also provides enhanced access control through a domain-based virtual addressing system. An extended 56-bit virtual address provides accountability by assigning each user with a specific address space. Finally, security validation is facilitated by organizing all security-related portions of hardware into a secure kernel",,0-8186-0895-1,,10.1109/ACSAC.1988.113440,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=113440,,Access control;Algorithms;Data security;Hardware;Information security;Microprocessors;Multilevel systems;Operating systems;Organizing;Protection,computer architecture;microprocessor chips;security of data,KEVEC-32;Kernelized Verifiable CISC processor;data classification;domain-based virtual addressing system;enhanced access control;microprocessor design;multilevel applications;multilevel security;processor privilege states;protection architecture;secure hardware;secure kernel;security validation;security-related portions;specific address space,,0,2,5,,,12-16 Dec 1988,12 Dec 1988-16 Dec 1988,IEEE,IEEE Conference Publications
