Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Document Type,Source,EID
"Masmoudi F., Loulou M., Kacem A.H.",Multi-tenant services monitoring for accountability in cloud computing,2015,"Proceedings of the International Conference on Cloud Computing Technology and Science, CloudCom",2015-February,February,7037725,620,625,,,10.1109/CloudCom.2014.152,http://www.scopus.com/inward/record.url?eid=2-s2.0-84937945681&partnerID=40&md5=5c6c9123b2c5ce0ccebc8696849e68d6,"ReDCAD Laboratory, University of Sfax, Sfax, Tunisia","Masmoudi, F., ReDCAD Laboratory, University of Sfax, Sfax, Tunisia; Loulou, M., ReDCAD Laboratory, University of Sfax, Sfax, Tunisia; Kacem, A.H., ReDCAD Laboratory, University of Sfax, Sfax, Tunisia","Software as a Service (SaaS) is a delivery model in which software resources are accessed remotely by users. Multi-tenancy is one of key properties of SaaS to achieve higher profit margin by leveraging the economies of scale. This feature empowered by virtualization comes several new complexities introduced related to the area of accountability. For this purpose, we tackle the problem of integrating multi-tenancy in cloud services accountability and determine crucial issues that can be solved. To do this, we propose a multitenant services monitoring approach that keeps monitoring service execution at runtime and detecting privacy violations. This approach is based on multitenant accountability patterns for integrating multi-tenancy architecture and expressing rules that are enforced using AOP. Furthermore, we propose a middleware layer for implementing our approach into conventional cloud architecture. The performed evaluation proves the flexibility and the efficiency of our approach for services based applications in the cloud computing. © 2014 IEEE.",Accountability; Cloud computing; Monitoring; Multi-tenancy; Patterns; Privacy,Conference Paper,Scopus,2-s2.0-84937945681
"Karame G.O., Androulaki E., Roeschlin M., Gervais A., Capkun S.",Misbehavior in Bitcoin: A study of double-spending and accountability,2015,ACM Transactions on Information and System Security,18,1,,,,,,10.1145/2732196,http://www.scopus.com/inward/record.url?eid=2-s2.0-84930850900&partnerID=40&md5=f43e8333a328edea4d50b63210e219b2,"Security Group, NEC Laboratories Europe, Heidelberg, Germany; Storage Integrity Group, IBM Research Zurich, Switzerland; Department of Computer Science, ETH Zurich, Zurich, Switzerland","Karame, G.O., Security Group, NEC Laboratories Europe, Heidelberg, Germany; Androulaki, E., Storage Integrity Group, IBM Research Zurich, Switzerland; Roeschlin, M., Department of Computer Science, ETH Zurich, Zurich, Switzerland; Gervais, A., Department of Computer Science, ETH Zurich, Zurich, Switzerland; Čapkun, S., Department of Computer Science, ETH Zurich, Zurich, Switzerland","Bitcoin is a decentralized payment system that relies on Proof-of-Work (PoW) to resist double-spending through a distributed timestamping service. To ensure the operation and security of Bitcoin, it is essential that all transactions and their order of execution are available to all Bitcoin users. Unavoidably, in such a setting, the security of transactions comes at odds with transaction privacy. Motivated by the fact that transaction confirmation in Bitcoin requires tens of minutes, we analyze the conditions for performing successful double-spending attacks against fast payments in Bitcoin, where the time between the exchange of currency and goods is short (in the order of a minute). We show that unless new detection techniques are integrated in the Bitcoin implementation, double-spending attacks on fast payments succeed with considerable probability and can be mounted at low cost. We propose a new and lightweight countermeasure that enables the detection of double-spending attacks in fast transactions. In light of such misbehavior, accountability becomes crucial. We show that in the specific case of Bitcoin, accountability complements privacy. To illustrate this tension, we provide accountability and privacy definition for Bitcoin, and we investigate analytically and empirically the privacy and accountability provisions in Bitcoin. © 2015 Association for Computing Machinery.","Bitcoin; Design; Distributed computing; Double-spending; Economics; Experimentation; K.4.1 [computers and society]: public policy issues - privacy; K.4.4 [computers and society]: electronic commerce - payment schemes, security; Monetization; Privacy; Security; Security",Article,Scopus,2-s2.0-84930850900
"Meera G., Geethakumari G.",A provenance auditing framework for cloud computing systems,2015,"2015 IEEE International Conference on Signal Processing, Informatics, Communication and Energy Systems, SPICES 2015",,,7091427,,,,,10.1109/SPICES.2015.7091427,http://www.scopus.com/inward/record.url?eid=2-s2.0-84937136344&partnerID=40&md5=beb94276c348cc7d3d6ca492ad9bfb6c,"BITS Pilani, Hyderabad Campus, Hyderabad, India","Meera, G., BITS Pilani, Hyderabad Campus, Hyderabad, India; Geethakumari, G., BITS Pilani, Hyderabad Campus, Hyderabad, India","Cloud computing is a service oriented paradigm that aims at sharing resources among a massive number of tenants and users. This sharing facility that it provides coupled with the sheer number of users make cloud environments susceptible to major security risks. Hence, security and auditing of cloud systems is of great relevance. Provenance is a meta-data history of objects which aid in verifiability, accountability and lineage tracking. Incorporating provenance to cloud systems can help in fault detection. This paper proposes a framework which aims at performing secure provenance audit of clouds across applications and multiple guest operating systems. For integrity preservation and verification, we use established cryptographic techniques. We look at it from the cloud service providers' perspective as improving cloud security can result in better trust relations with customers. © 2015 IEEE.",Auditing; Cloud computing; Provenance,Conference Paper,Scopus,2-s2.0-84937136344
"Gurung S., Kim Y.",Healthcare Privacy: How Secure Are the VOIP/Video-Conferencing Tools for PHI Data?,2015,"Proceedings - 12th International Conference on Information Technology: New Generations, ITNG 2015",,,7113534,574,579,,,10.1109/ITNG.2015.96,http://www.scopus.com/inward/record.url?eid=2-s2.0-84936818086&partnerID=40&md5=b740cc7414c7d1b3c68fb3f33a168495,"Department of Computer Science, University of Nevada, Las Vegas, NV, United States","Gurung, S., Department of Computer Science, University of Nevada, Las Vegas, NV, United States; Kim, Y., Department of Computer Science, University of Nevada, Las Vegas, NV, United States","There is a high-Tech term called telemedicine, which uses information technologies and telecommunication for exchanging medical information among patients and health service providers from different locations. Many video conferencing tools such as WebEx, Go To Meeting, Skype, Google+ Hangouts, etc. Are commonly used these days. Even though these tools vouch for some level of privacy and secured encrypted connections, there are still security risks and vulnerabilities associated with them such as data leaks, call intrusions, identity theft, etc. The risk is even higher during medical video conferencing as there involves many protected health information (PHI) data exchanges. And, any such violations or breach of PHI data can result in civil and criminal penalties as per the Health Insurance Portability and Accountability Act (HIPAA). In this paper, we conduct a literature survey on the security level of such tools, associated risks and possible alternative methods or tools. © 2015 IEEE.",Google Hangout; HIPAA; PHI; Skype; Video Conferencing,Conference Paper,Scopus,2-s2.0-84936818086
"Asavachivanthornkul P., Ghansah I.",Best practices and research for handling demand response security issues in the smart grid,2015,"Proceedings of the 30th International Conference on Computers and Their Applications, CATA 2015",,,,243,249,,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84925938877&partnerID=40&md5=b55391d28f6ba96a984f7c89e61fb17f,"Department of Computer Science, California State University Sacramento, 6000 J Street, Sacramento, CA, United States","Asavachivanthornkul, P., Department of Computer Science, California State University Sacramento, 6000 J Street, Sacramento, CA, United States; Ghansah, I., Department of Computer Science, California State University Sacramento, 6000 J Street, Sacramento, CA, United States","Demand Response (DR) programs have been developed and deployed by many utilities to manage growth in peak electricity demands, and to provide more reliable electricity grids and more economic energy. DR systems are expected to be eventually utilized in most California residential and commercial energy customers. Violation of security goals such as confidentiality, integrity, availability and accountability, could adversely affect the reliability of the grid, customer electric bill, and customer privacy. It could also affect health and safety of customers in case an attacker causes the system to turn on heating units during an extremely hot day in the summer. This paper describes architecture of DR systems, discusses their security risks, addresses best practices to mitigate them, and identifies some research issues such as access control, key management and accountability. The latter is discussed in more detail. Copyright © 2015 by The International Society for Computers and Their Applications (ISCA).",Accountability; Contract signing; Demand response; Nonrepudiation; Security; Smart grid,Conference Paper,Scopus,2-s2.0-84925938877
"Perlich A., Sapegin A., Meinel C.",Implementation of data security requirements in a web-based application for interactive medical documentation,2015,"HEALTHINF 2015 - 8th International Conference on Health Informatics, Proceedings; Part of 8th International Joint Conference on Biomedical Engineering Systems and Technologies, BIOSTEC 2015",,,,352,359,,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84938855259&partnerID=40&md5=795fd6ccaeb75f178b6762c2097fdeae,"Hasso Plattner Institute, University of Potsdam, Prof.-Dr.-Helmert-Str. 2-3, Potsdam, Germany","Perlich, A., Hasso Plattner Institute, University of Potsdam, Prof.-Dr.-Helmert-Str. 2-3, Potsdam, Germany; Sapegin, A., Hasso Plattner Institute, University of Potsdam, Prof.-Dr.-Helmert-Str. 2-3, Potsdam, Germany; Meinel, C., Hasso Plattner Institute, University of Potsdam, Prof.-Dr.-Helmert-Str. 2-3, Potsdam, Germany","Keeping data confidential is a deeply rooted requirement in medical documentation. However, there are increasing calls for patient transparency in medical record documentation. With Tele-Board MED, an interactive system for joint documentation of doctor and patient is developed. This web-based application designed for digital whiteboards will be tested in treatment sessions with psychotherapy patients and therapists. In order to ensure the security of patient data, security measures were implemented and they are illustrated in this paper. We followed the major information security objectives: confidentiality, integrity, availability and accountability. Next to technical aspects, such as data encryption, access restriction through firewall and password, and measures for remote maintenance, we address issues at organizational and infrastructural levels as well (e.g., patients' access to notes). With this paper we want to increase the awareness of information security, and promote a security conception from the beginning of health software research projects. The measures described in this paper can serve as an example for other health software applications dealing with sensitive patient data, from early user testing phases on.",Client-server application; Information security; Medical documentation; Mental health care; Patient data,Conference Paper,Scopus,2-s2.0-84938855259
"Ali S.T., Sivaraman V., Ostry D., Tsudik G., Jha S.",Securing first-hop data provenance for bodyworn devices using wireless link fingerprints,2014,IEEE Transactions on Information Forensics and Security,9,12,6898844,2193,2204,,,10.1109/TIFS.2014.2357998,http://www.scopus.com/inward/record.url?eid=2-s2.0-84911072446&partnerID=40&md5=ddf8db74201e75a5f9ade2072a5ceda2,"University of New South Wales, Sydney, NSW, Australia; CSIRO, Information and Communication Technology Centre, Marsfield, NSW, Australia; University of California at Irvine, Irvine, CA, United States","Ali, S.T., University of New South Wales, Sydney, NSW, Australia; Sivaraman, V., University of New South Wales, Sydney, NSW, Australia; Ostry, D., CSIRO, Information and Communication Technology Centre, Marsfield, NSW, Australia; Tsudik, G., University of California at Irvine, Irvine, CA, United States; Jha, S., University of New South Wales, Sydney, NSW, Australia","Wireless bodyworn sensing devices are fast becoming popular for fitness, sports training, and personalized healthcare applications. Securing data generated by these devices is essential if they are to be integrated into the current health infrastructure and employed in medical applications. In this paper, we propose a mechanism to secure the data provenance for these devices by exploiting spatio-temporal characteristics of the wireless channel that these devices use for communication. Our solution enables two parties to generate closely matching link fingerprints, which uniquely associate a data session with a wireless link such that a third party can later verify the details of the transaction, particularly the wireless link on which the data was transmitted. These fingerprints are very hard for an eavesdropper to forge; they are lightweight compared with traditional provenance mechanisms and enable interesting security properties such as accountability, nonrepudiation, and resist man-in-the-middle attacks. We validate our technique with experiments using bodyworn sensors in scenarios approximating actual device deployment and present some extensions, which reduce energy consumption. We believe this is a promising first step toward using wireless-link characteristics for the data provenance in body area networks. © 2014 IEEE.",Body area networks; data provenance; physical layer security,Article,Scopus,2-s2.0-84911072446
"Beiter M., Casassa Mont M., Chen L., Pearson S.",End-to-end policy based encryption techniques for multi-party data management,2014,Computer Standards and Interfaces,36,4,,699,703,,,10.1016/j.csi.2013.12.004,http://www.scopus.com/inward/record.url?eid=2-s2.0-84894278511&partnerID=40&md5=a422a111e237769e79414a404dd3b338,"Chief Technology Office, HP Printing and Personal Systems, Fort Collins, United States; Cloud and Security Lab, HP Labs, Bristol, United Kingdom","Beiter, M., Chief Technology Office, HP Printing and Personal Systems, Fort Collins, United States; Casassa Mont, M., Cloud and Security Lab, HP Labs, Bristol, United Kingdom; Chen, L., Cloud and Security Lab, HP Labs, Bristol, United Kingdom; Pearson, S., Cloud and Security Lab, HP Labs, Bristol, United Kingdom","We describe a data management solution and associated key management approaches to provide accountability within service provision networks, in particular addressing privacy issues in cloud computing applications. Our solution involves machine readable policies that stick to data to define allowed usage and obligations as data travels across multiple parties. Service providers have fine-grained access to specific data based on agreed policies, enforced by interactions with independent third parties that check for policy compliance before releasing decryption keys required for data access. We describe alternative solutions based upon Public Key Infrastructure (PKI), Identity Based Encryption (IBE) and advanced secret sharing schemes. © 2013 Published by Elsevier B.V.",Cloud; Policy enforcement; Privacy; Secret sharing; Sticky policy,Article,Scopus,2-s2.0-84894278511
"Vlachokyriakos V., Dunphy P., Taylor N., Comber R., Olivier P.",BallotShare: An exploration of the design space for digital voting in the workplace,2014,Computers in Human Behavior,,,,,,,1,10.1016/j.chb.2014.04.024,http://www.scopus.com/inward/record.url?eid=2-s2.0-84900737947&partnerID=40&md5=147e74977f86bdf221bb787771167190,"Computing Science, Culture Lab, Newcastle University, UK; University of Dundee, Dundee, UK","Vlachokyriakos, V., Computing Science, Culture Lab, Newcastle University, UK; Dunphy, P., Computing Science, Culture Lab, Newcastle University, UK; Taylor, N., University of Dundee, Dundee, UK; Comber, R., Computing Science, Culture Lab, Newcastle University, UK; Olivier, P., Computing Science, Culture Lab, Newcastle University, UK","Digital voting is used to support group decision-making in a variety of contexts ranging from politics to mundane everyday collaboration, and the rise in popularity of digital voting has provided an opportunity to re-envision voting as a social tool that better serves democracy. A key design goal for any group decision-making system is the promotion of participation, yet there is little research that explores how the features of digital voting systems themselves can be shaped to configure participation appropriately. In this paper we propose a framework that explores the design space of digital voting from the perspective of participation. We ground our discussion in the design of a social media polling tool called BallotShare; a first instantiation of our proposed framework designed to facilitate the study of decision-making practices in a workplace environment. Across five weeks, participants created and took part in non-standard polls relating to events and other spontaneous group decisions. Following interviews with participants we identified significant drivers and limitations of individual and collective participation in the voting process: social visibility, social inclusion, commitment and delegation, accountability, influence and privacy. © 2014 Elsevier Ltd. All rights reserved.",Decision making; e-voting; HCI; Social voting,Article in Press,Scopus,2-s2.0-84900737947
"Mukundan N.R., Prakash Sai L.",Perceived information security of internal users in Indian IT services industry,2014,Information Technology and Management,15,1,,1,8,,,10.1007/s10799-013-0156-y,http://www.scopus.com/inward/record.url?eid=2-s2.0-84894629697&partnerID=40&md5=193c550f050b0ab9f09711f8103cc7c2,"Department of Management Studies, Indian Institute of Technology Madras, Chennai, 600036, India","Mukundan, N.R., Department of Management Studies, Indian Institute of Technology Madras, Chennai, 600036, India; Prakash Sai, L., Department of Management Studies, Indian Institute of Technology Madras, Chennai, 600036, India","Information security governance dominates the senior management's agenda in overall organizational informance technology (IT) governance. The globalization trends encompassing all businesses, and risks of information leakage forces organizations to institute mechanisms to protect it. In order to achieve adequate level of protection, organizations implement information security management systems (ISMS). The effectiveness of ISMS depends on the implementation strength of security controls. Several studies have detailed out the qualitative nature of information security measurements and quantitative studies have always remained a challenge. This empirical study focuses on the information security perceptions of internal users of the organization on the security controls, customer influence and the support provided by the top management. The perception of internal users referred as perceived information security is measured based on the degree of confidence expressed by the internal users towards the security objectives namely, confidentiality, integrity, availability, accountability and reliability. In an attempt to align the interest of researchers and practitioners, the study surveys major developments in the field of ISMS and proposes a construct for a holistic comprehension of 'Perceived Information Security'. The survey based research methodology focuses on the perceptions of the internal users such as Security program Implementers, Business Users and Senior Management. The findings of the study in the context of Indian IT services industry have been presented. The contributions of the research paper include providing insights into perceived information security of internal users of the organization, an empirical approach for studying perceived information security and a holistic framework for information security in Indian IT organizations. © 2013 Springer Science+Business Media New York.",Information systems security; IT services; Perceived information security; Security audit,Article,Scopus,2-s2.0-84894629697
