"Emerging technologies to support indirect procurement: two case studies from the petroleum industry","Information Technology and Management","","1","1 - 2","10.1023/A:1019160605755","Judith GebauerArie Segev","2000","http://link.springer.com/article/10.1023/A%3A1019160605755","Article"
"The Future of Enterprise System-Enabled Organizations","Information Systems Frontiers","","2","2","10.1023/A:1026591822284","Thomas H. Davenport","2000","http://link.springer.com/article/10.1023/A%3A1026591822284","Article"
"Creating a new security for tomorrow’s communication networks and information systems","Annales Des Télécommunications","","55","7 - 8","10.1007/BF02994847","Michel Riguidel","2000","http://link.springer.com/article/10.1007/BF02994847","Article"
"A revised taxonomy for intrusion-detection systems","Annales Des Télécommunications","","55","7 - 8","10.1007/BF02994844","Hervé DebarMarc DacierAndreas Wespi","2000","http://link.springer.com/article/10.1007/BF02994844","Article"
"A Framework for Designing a Global Information Network for Multinational Humanitarian Assistance/Disaster Relief","Information Systems Frontiers","","1","4","10.1023/A:1010074210709","Tung BuiSungwon ChoSiva SankaranMichael Sovereign","2000","http://link.springer.com/article/10.1023/A%3A1010074210709","Article"
"Component leasing on the World Wide Web","Netnomics","","2","2","10.1023/A:1019190830481","H.-A. JacobsenO. GüntherG. Riessen","2000","http://link.springer.com/article/10.1023/A%3A1019190830481","Article"
"TheEvolve project: Component-based tailorability for CSCW applications","AI & SOCIETY","","14","1","10.1007/BF01206131","Oliver StiemerlingArmin B. Cremers","2000","http://link.springer.com/article/10.1007/BF01206131","Article"
"PoliawaC: design and evaluation of an awareness-enhanced groupware client","AI & SOCIETY","","14","1","10.1007/BF01206127","Markus SohlenkampWolfgang PrinzLudwin Fuchs","2000","http://link.springer.com/article/10.1007/BF01206127","Article"
"Transaction-Based Pseudonyms in Audit Data for Privacy Respecting Intrusion Detection","Recent Advances in Intrusion Detection","","","","10.1007/3-540-39945-3_3","Joachim BiskupUlrich Flegel","2000","http://link.springer.com/chapter/10.1007/3-540-39945-3_3","Chapter"
"Security of Electronic Business Applications: Structure and Quantification","Electronic Commerce and Web Technologies","","","","10.1007/3-540-44463-7_3","Konstantin KnorrSusanne Röhrig","2000","http://link.springer.com/chapter/10.1007/3-540-44463-7_3","Chapter"
"Future Directions in Secure Electronic Commerce","SEMPER - Secure Electronic Marketplace for Europe","","","","10.1007/978-3-540-44927-0_17","Gérard LacosteBirgit PfitzmannMichael SteinerMichael Waidner","2000","http://link.springer.com/chapter/10.1007/978-3-540-44927-0_17","Chapter"
"Mobile Object Systems","Object-Oriented Technology","","","","10.1007/3-540-44555-2_17","Ciarán BryceChrislain Razafimahefa","2000","http://link.springer.com/chapter/10.1007/3-540-44555-2_17","Chapter"
"The Challenges of CORBA Security","Sicherheit in Netzen und Medienströmen","","","","10.1007/978-3-642-58346-9_6","A. AlirezaU. LangM. PadelisR. SchreinerM. Schumacher","2000","http://link.springer.com/chapter/10.1007/978-3-642-58346-9_6","Chapter"
"Towards a New Authorisation Paradigm for Extranets","Information Security and Privacy","","","","10.1007/10718964_2","Richard AuMark LooiPaul Ashley","2000","http://link.springer.com/chapter/10.1007/10718964_2","Chapter"
"Protecting Confidentiality against Trojan Horse Programs in Discretionary Access Control System","Information Security and Privacy","","","","10.1007/10718964_1","Adrian SpalkaArmin B. CremersHartmut Lehmler","2000","http://link.springer.com/chapter/10.1007/10718964_1","Chapter"
"Jikzi: A New Framework for Secure Publishing","Security Protocols","","","","10.1007/10720107_5","Ross Anderson","2000","http://link.springer.com/chapter/10.1007/10720107_5","Chapter"
"Passive Entities: A Strategy for Electronic Payment Design","Information Security and Privacy","","","","10.1007/10718964_12","Ernest FooColin Boyd","2000","http://link.springer.com/chapter/10.1007/10718964_12","Chapter"
"Accounting Architecture Involving Agent Capabilities","Telecommunications and IT Convergence Towards Service E-volution","","","","10.1007/3-540-46525-1_16","Kostas ZygourakisDidoe PrevedourouGeorge Stamoulis","2000","http://link.springer.com/chapter/10.1007/3-540-46525-1_16","Chapter"
"Efficient and Secure Information Sharing in Distributed, Collaborative Environments","Communication-Based Systems","","","","10.1007/978-94-015-9608-4_12","Partha DasguptaVijay KaramchetiZvi M. Kedem","2000","http://link.springer.com/chapter/10.1007/978-94-015-9608-4_12","Chapter"
"Chapter 11: The Payment Framework","SEMPER - Secure Electronic Marketplace for Europe","","","","10.1007/978-3-540-44927-0_13","Gérard LacosteBirgit PfitzmannMichael SteinerMichael Waidner","2000","http://link.springer.com/chapter/10.1007/978-3-540-44927-0_13","Chapter"
"Managing High-Tech Projects. Part II","Intelligent Systems and Interfaces","","","","10.1007/978-1-4615-4401-2_14","Daniel MlynekPaul Mali","2000","http://link.springer.com/chapter/10.1007/978-1-4615-4401-2_14","Chapter"
"Fair Exchange: A New Paradigm for Electronic Commerce","SEMPER - Secure Electronic Marketplace for Europe","","","","10.1007/978-3-540-44927-0_12","Gérard LacosteBirgit PfitzmannMichael SteinerMichael Waidner","2000","http://link.springer.com/chapter/10.1007/978-3-540-44927-0_12","Chapter"
"Formal Verification of Cardholder Registration in SET","Computer Security - ESORICS 2000","","","","10.1007/10722599_10","Giampaolo BellaFabio MassacciLawrence C. PaulsonPiero Tramontano","2000","http://link.springer.com/chapter/10.1007/10722599_10","Chapter"
"Commital Deniable Proofs and Electronic Campaign Finance","Advances in Cryptology — ASIACRYPT 2000","","","","10.1007/3-540-44448-3_28","Matt FranklinTomas Sander","2000","http://link.springer.com/chapter/10.1007/3-540-44448-3_28","Chapter"
"Nodal Organizational Designs in Silicon Valley","Business Engineering","","","","10.1007/978-3-642-98097-8_7","Homa BahramiStuart Evans","2000","http://link.springer.com/chapter/10.1007/978-3-642-98097-8_7","Chapter"
"Proving Ownership of Digital Content","Information Hiding","","","","10.1007/10719724_9","André AdelsbachBirgit PfitzmannAhmad-Reza Sadeghi","2000","http://link.springer.com/chapter/10.1007/10719724_9","Chapter"
"What is Authentication?","Security Protocols","","","","10.1007/10720107_9","Dieter Gollmann","2000","http://link.springer.com/chapter/10.1007/10720107_9","Chapter"
"Integrating Programming, Properties, and Validation","Mathematics of Program Construction","","","","10.1007/10722010_1","Mark P. Jones","2000","http://link.springer.com/chapter/10.1007/10722010_1","Chapter"
"Digital City Bristol: A Case Study","Digital Cities","","","","10.1007/3-540-46422-0_10","Annelies de Bruine","2000","http://link.springer.com/chapter/10.1007/3-540-46422-0_10","Chapter"
"Managing High-Tech Projects. Part I","Intelligent Systems and Interfaces","","","","10.1007/978-1-4615-4401-2_13","Daniel MlynekPaul Mali","2000","http://link.springer.com/chapter/10.1007/978-1-4615-4401-2_13","Chapter"
"A Critical Analysis of PSP Data Quality: Results from a Case Study","Empirical Software Engineering","","4","4","10.1023/A:1009801218527","Philip M. JohnsonAnne M. Disney","1999","http://link.springer.com/article/10.1023/A%3A1009801218527","Article"
"Ethics, computing and medicine. Informatics and the transformation of health care. Kenneth W. Goodman, editor","Ethics and Information Technology","","1","4","10.1023/A:1010082801213","Marian Verkerk","1999","http://link.springer.com/article/10.1023/A%3A1010082801213","Article"
"Accumulating and Coordinating: Occasions for Information Technologies in Medical Work","Computer Supported Cooperative Work (CSCW)","","8","4","10.1023/A:1008757115404","Marc Berg","1999","http://link.springer.com/article/10.1023/A%3A1008757115404","Article"
"Enterprise Data Quality: A Pragmatic Approach","Information Systems Frontiers","","1","3","10.1023/A:1010006529488","Amjad UmarGeorge KarabatisLinda NessBruce HorowitzAhmed Elmagardmid","1999","http://link.springer.com/article/10.1023/A%3A1010006529488","Article"
"Conceptual Data Modeling for Spatiotemporal Applications","GeoInformatica","","3","3","10.1023/A:1009801415799","Nectaria TryfonaChristian S. Jensen","1999","http://link.springer.com/article/10.1023/A%3A1009801415799","Article"
"Computers in control: Rational transfer of authority or irresponsible abdication of autonomy?","Ethics and Information Technology","","1","3","10.1023/A:1010087500508","Arthur Kuflik","1999","http://link.springer.com/article/10.1023/A%3A1010087500508","Article"
"Cultural Resource Management in Context","Archives and Museum Informatics","","13","3 - 4","10.1023/A:1012480729171","Ruthann Knudson","1999","http://link.springer.com/article/10.1023/A%3A1012480729171","Article"
"AI and human society","AI & SOCIETY","","13","3","10.1007/BF01174784","Petros A. M. Gelepithis","1999","http://link.springer.com/article/10.1007/BF01174784","Article"
"EDI — The Grand Daddy of Electronic Commerce","BT Technology Journal","","17","3","10.1023/A:1009664017258","M. UnittI. C. Jones","1999","http://link.springer.com/article/10.1023/A%3A1009664017258","Article"
"Anonymity","Ethics and Information Technology","","1","1","10.1023/A:1010066509278","Kathleen A. Wallace","1999","http://link.springer.com/article/10.1023/A%3A1010066509278","Article"
